protein,elastic_network,time_ps,rmsd_nm
alphasynuclein,False,650000.0,3.8748786
alphasynuclein,False,660000.0,3.3141816
alphasynuclein,False,670000.0,2.8362715
alphasynuclein,False,680000.0,2.6556442
alphasynuclein,False,690000.0,2.8947997
alphasynuclein,False,700000.0,2.4605565
alphasynuclein,False,710000.0,2.5493793
alphasynuclein,False,720000.0,3.7182803
alphasynuclein,False,730000.0,3.7465718
alphasynuclein,False,740000.0,3.9951003
alphasynuclein,False,750000.0,4.4273963
alphasynuclein,False,760000.0,4.4083772
alphasynuclein,False,770000.0,4.4149289
alphasynuclein,False,780000.0,3.8415494
alphasynuclein,False,790000.0,2.6405792
alphasynuclein,False,800000.0,2.5307732
alphasynuclein,False,810000.0,2.8841162
alphasynuclein,False,820000.0,2.9492548
alphasynuclein,False,830000.0,3.3395445
alphasynuclein,False,840000.0,2.1968954
alphasynuclein,False,850000.0,1.784582
alphasynuclein,False,860000.0,1.3779368
alphasynuclein,False,870000.0,1.9848858
alphasynuclein,False,880000.0,2.248647
alphasynuclein,False,890000.0,3.3894486
alphasynuclein,False,900000.0,3.6434987
alphasynuclein,False,910000.0,3.8925939
alphasynuclein,False,920000.0,3.5592585
alphasynuclein,False,930000.0,3.5854213
alphasynuclein,False,940000.0,3.5903494
alphasynuclein,False,950000.0,4.3727169
alphasynuclein,False,960000.0,4.4023714
alphasynuclein,False,970000.0,4.5433741
alphasynuclein,False,980000.0,3.9290628
alphasynuclein,False,990000.0,3.7475972
alphasynuclein,False,1000000.0,3.3753326
